Marital status,Course,Daytime/evening attendance,Admission grade,Displaced,Educational special needs,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (grade),Curricular units 2nd sem (grade),Academic_success 
married,9773,daytime,140,No,No,No,Male,No,43,No,10,12.25,Dropout
single,9085,daytime,140,Yes,No,Yes,Female,No,19,No,13,13,Graduate
single,9085,daytime,107.5,No,No,Yes,Male,Yes,19,No,13.83333333,13.66666667,Graduate
single,9085,daytime,141.8,No,No,Yes,Female,No,21,No,14.4,13.8,Graduate
single,9773,daytime,120.4,Yes,No,Yes,Female,Yes,18,No,12.33333333,13.5,Graduate
single,9085,daytime,130.8,Yes,No,Yes,Female,No,18,No,13.66666667,12,Graduate
single,9670,daytime,118.8,Yes,Yes,Yes,Female,Yes,18,No,12,12.33333333,Graduate
single,9238,daytime,136.1,Yes,No,Yes,Female,Yes,18,No,14,13.66666667,Graduate
married,9130,daytime,157,Yes,No,Yes,Male,No,44,No,14,15.5,Graduate
single,9070,daytime,121.3,Yes,No,Yes,Female,No,20,No,11.16666667,11.5,Dropout
single,9003,daytime,140,No,No,Yes,Female,No,21,No,10.66666667,12,Dropout
single,9254,daytime,137.7,Yes,No,No,Female,No,19,No,10,0,Dropout
married,8014,evening,149.5,No,No,Yes,Male,No,48,No,0,0,Dropout
single,9003,daytime,140,Yes,No,Yes,Male,No,22,No,12.6,11.71428571,Graduate
single,9670,daytime,108,Yes,No,Yes,Female,Yes,20,No,13,13.8,Graduate
married,9130,daytime,120,Yes,No,No,Male,No,28,No,11,10.5,Dropout
single,9070,daytime,132.9,Yes,No,Yes,Male,Yes,20,No,11.375,13.8,Graduate
single,9500,daytime,104.5,Yes,No,Yes,Female,Yes,21,No,13.336,13.20714286,Graduate
single,9991,evening,118.1,No,No,Yes,Male,No,28,No,12,11.33333333,Dropout
single,9085,daytime,132.1,Yes,No,Yes,Female,Yes,19,No,12.66666667,13,Graduate
single,171,daytime,154.6,Yes,No,Yes,Female,No,19,No,12.33333333,12.72727273,Dropout
single,9500,daytime,120,Yes,No,Yes,Female,Yes,19,No,13.15142857,13.15142857,Graduate
single,9070,daytime,123.7,Yes,No,Yes,Female,No,19,No,12.66666667,11.4,Graduate
single,9500,daytime,119,Yes,No,Yes,Female,Yes,19,No,12.6,12.6,Graduate
married,9556,daytime,139.8,No,No,Yes,Male,No,24,No,12.27142857,13.65714286,Graduate
single,9670,daytime,122,No,No,No,Female,No,18,No,12.5,10.25,Dropout
single,9119,daytime,134,No,No,Yes,Male,Yes,24,No,11.83333333,14,Dropout
single,9773,daytime,128.4,Yes,No,Yes,Female,No,18,No,15.5,14,Graduate
single,9773,daytime,129.8,Yes,No,Yes,Male,No,52,No,13,15,Graduate
single,9238,daytime,132.6,No,No,Yes,Female,Yes,18,No,13.28571429,14.33333333,Graduate
single,9238,daytime,110.7,Yes,Yes,Yes,Female,No,18,No,10.33333333,13.33333333,Dropout
single,9853,daytime,142.8,No,No,Yes,Female,No,18,No,13,11.5,Dropout
single,9254,daytime,124,No,No,Yes,Male,Yes,19,No,11,12.2,Dropout
single,9238,daytime,136.5,No,No,Yes,Male,No,28,No,0,0,Dropout
single,9500,daytime,127.8,Yes,No,Yes,Female,No,19,No,13.78,13.78,Dropout
single,9853,daytime,142.2,No,No,Yes,Female,No,19,No,12.5,12.5,Dropout
single,9147,daytime,132.3,Yes,No,Yes,Female,Yes,18,No,13.4,12.2,Graduate
single,9773,daytime,104,No,No,No,Female,Yes,24,No,13.5,13,Graduate
single,9238,daytime,121.7,Yes,No,Yes,Female,Yes,18,No,0,11,Graduate
single,9991,evening,154,No,No,Yes,Female,No,27,No,0,0,Dropout
single,9147,daytime,123.7,Yes,No,Yes,Female,Yes,19,No,11,0,Dropout
single,8014,evening,100,No,No,Yes,Female,No,26,No,12.75,12.28571429,Graduate
single,9670,daytime,130.6,Yes,No,No,Male,No,23,No,0,0,Dropout
single,9500,daytime,131.5,Yes,No,Yes,Male,Yes,18,No,12.5125,14.1875,Graduate
single,9147,daytime,121.5,Yes,No,Yes,Female,No,31,No,11.61538462,12.54545455,Dropout
single,9853,daytime,107.3,No,No,Yes,Female,No,20,No,0,0,Dropout
divorced,9670,daytime,130,No,No,Yes,Male,Yes,29,No,14,0,Dropout
single,9500,daytime,150,No,No,Yes,Female,Yes,19,No,13.85,12.19285714,Graduate
single,9500,daytime,120,Yes,No,Yes,Female,Yes,25,No,13.29,13.29,Dropout
married,8014,evening,120,No,No,No,Female,No,35,No,0,0,Dropout
single,9853,daytime,121.1,Yes,No,Yes,Female,No,19,No,12.2,11.8,Graduate
single,9670,daytime,133.3,No,No,Yes,Female,No,19,No,13,13.2,Graduate
single,9119,daytime,130,No,No,Yes,Male,No,20,No,13,12.6,Dropout
married,8014,evening,117,No,No,Yes,Male,No,33,No,12,11.66666667,Graduate
single,9500,daytime,143,No,No,Yes,Male,No,18,No,13.4,13.4,Graduate
